,word,count
457,targets,66
458,sierra,66
459,180,66
460,offer,66
461,surveillance,66
462,sector,66
463,debut,66
464,last,66
465,demo,66
466,antenna,66
467,reusable,66
468,goes,66
469,globalstar,65
470,under,65
471,regulatory,65
472,council,65
473,scientists,65
474,france,65
475,bridenstine,65
476,astrium,65
477,q,64
478,chairman,64
479,rideshare,64
480,innovation,64
481,efforts,64
482,term,64
483,sat,64
484,customer,64
485,again,63
486,echostar,63
487,moves,63
488,faces,63
489,glitch,63
490,pandemic,63
491,secretary,63
492,making,63
493,puts,63
494,run,62
495,booster,62
496,electron,62
497,questions,62
498,musk,62
499,increase,61
500,costs,61
501,cygnus,61
502,proposed,61
503,acquire,60
504,major,60
505,approves,60
506,continue,60
507,delivers,60
508,must,60
509,adds,60
510,remains,60
511,officials,60
512,germany,60
513,expected,60
514,or,60
515,reaches,59
516,picks,59
517,expand,59
518,buys,59
519,fund,59
520,finds,59
521,partnership,59
522,opens,59
523,additional,59
524,details,59
525,sensor,59
526,gen,59
527,sbirs,59
528,deep,58
529,department,58
530,crewed,58
531,rocketdyne,58
532,nuclear,58
533,begin,58
534,engines,58
535,effort,58
536,shepard,58
537,vehicles,58
538,seeking,58
539,looking,58
540,america,58
541,open,57
542,reports,57
543,extension,57
544,successful,57
545,keep,57
546,rules,57
547,nga,57
548,sales,57
549,kepler,57
550,customers,57
551,start,57
552,spire,56
553,facility,56
554,five,56
555,post,56
556,smallsats,56
557,indian,56
558,late,56
559,electric,56
560,commerce,56
561,sign,56
562,telecom,56
563,other,55
564,preparing,55
565,d,55
566,july,55
567,enters,55
568,lands,55
569,11,55
570,export,55
571,2018,55
572,2021,55
573,obama,55
574,platform,54
575,expands,54
576,2023,54
577,investigation,54
578,provide,54
579,call,54
580,constellations,54
581,momentus,54
582,upper,54
583,series,54
584,challenge,54
585,record,54
586,full,54
587,launched,54
588,join,53
589,developing,53
590,hosted,53
591,ends,53
592,near,53
593,authorization,53
594,connectivity,52
595,named,52
596,2024,52
597,moving,52
598,potential,52
599,relay,52
600,maritime,52
601,ex,52
602,fleet,52
603,ohb,52
604,loral,52
605,100,51
606,returns,51
607,fails,51
608,likely,51
609,vulcan,51
610,o3b,51
611,face,51
612,dream,51
613,orbiter,51
614,ukraine,51
615,exomars,51
616,spotlight,51
617,forces,50
618,15,50
619,sensors,50
620,step,50
621,secures,50
622,following,50
623,impact,50
624,won,50
625,19,50
626,canadian,50
627,2016,50
628,meet,49
629,prize,49
630,gateway,49
631,working,49
632,laser,49
633,bid,49
634,see,49
635,building,49
636,taking,49
637,firefly,48
638,sample,48
639,fire,48
640,confirms,48
641,during,48
642,agencies,48
643,outlines,48
644,replacement,48
645,spaceplane,48
646,successfully,48
647,case,48
648,gives,48
649,experts,48
650,shutdown,48
651,nevada,48
652,providers,47
653,access,47
654,ball,47
655,success,47
656,spy,47
657,strategic,47
658,joint,47
659,sale,47
660,tech,47
661,risk,47
662,releases,47
663,life,47
664,instrument,47
665,request,47
666,block,46
667,vice,46
668,base,46
669,20,46
670,launching,46
671,push,46
672,chaser,46
673,state,46
674,google,46
675,e,46
676,craft,46
677,ssl,46
678,proposes,45
679,board,45
680,critical,45
681,alliance,45
682,us,45
683,race,45
684,im,45
685,better,45
686,wgs,45
687,harris,45
688,move,45
689,resolution,45
690,deputy,45
691,removal,44
692,reveals,44
693,remote,44
694,transition,44
695,capsule,44
696,experiment,44
697,cape,44
698,june,44
699,price,44
700,before,44
701,slips,44
702,court,44
703,roscosmos,44
704,day,44
705,projects,44
706,six,44
707,protest,44
708,week,44
709,orbcomm,44
710,12,43
711,clears,43
712,anomaly,43
713,loss,43
714,license,43
715,30,43
716,hardware,43
717,december,43
718,fight,43
719,debate,43
720,united,43
721,navy,43
722,approval,43
723,upgrade,43
724,coronavirus,43
725,2015,43
726,amazon,42
727,firms,42
728,if,42
729,uncertainty,42
730,proposals,42
731,partnerships,42
732,problems,42
733,asks,42
734,studies,42
735,acquisitions,42
736,internet,42
737,abort,42
738,hopes,42
739,re,42
740,speed,41
741,target,41
742,ban,41
743,bankruptcy,41
744,factory,41
745,geospatial,41
746,talks,41
747,manager,41
748,approach,41
749,coming,41
750,sharing,41
751,14,41
752,made,41
753,head,41
754,18,41
755,spac,41
756,geoeye,41
757,2012,41
758,l3harris,40
759,13,40
760,optical,40
761,threats,40
762,ka,40
763,arrives,40
764,appropriators,40
765,gap,40
766,cybersecurity,40
767,follow,40
768,iceye,40
769,books,40
770,2019,40
771,hispasat,40
772,ocean,40
773,poised,40
774,opportunities,40
775,good,40
776,jpss,40
777,administration,40
778,asiasat,40
779,muos,40
780,2017,40
781,difference,40
782,blog,40
783,sciences,39
784,upcoming,39
785,acquires,39
786,sensing,39
787,capabilities,39
788,awareness,39
789,environmental,39
790,spacecom,39
791,insight,39
792,april,39
793,view,39
794,operational,39
795,look,39
796,german,39
797,europa,39
798,sn,39
799,selected,38
800,toward,38
801,biden,38
802,classified,38
803,led,38
804,battle,38
805,advisory,38
806,leadership,38
807,some,38
808,hughes,38
809,bandwidth,38
810,act,38
811,possible,38
812,phase,37
813,networks,37
814,direct,37
815,close,37
816,unit,37
817,mid,37
818,initial,37
819,opportunity,37
820,remain,37
821,nears,37
822,aircraft,37
823,further,37
824,canaveral,37
825,images,37
826,prototype,37
827,division,37
828,r,37
829,contractor,37
830,launchers,37
831,astrophysics,37
832,stratolaunch,37
833,aehf,37
834,create,36
835,eu,36
836,technical,36
837,north,36
838,purchase,36
839,25,36
840,infrastructure,36
841,steps,36
842,put,36
843,using,36
844,urges,36
845,interest,36
846,complete,36
847,nelson,36
848,buying,36
849,expansion,36
850,month,36
851,operator,36
852,beyond,36
853,slow,36
854,money,36
855,members,36
856,profit,36
857,multi,35
858,reconnaissance,35
859,focused,35
860,digital,35
861,changing,35
862,deployment,35
863,demonstrate,35
864,investors,35
865,date,35
866,17,35
867,british,35
868,regulations,35
869,discovery,35
870,soon,35
871,hires,35
872,mark,35
873,avanti,35
874,strong,35
875,quarterly,35
876,exec,35
877,lease,35
878,percent,35
879,ors,35
880,axiom,34
881,relativity,34
882,short,34
883,your,34
884,part,34
885,5g,34
886,hubble,34
887,months,34
888,show,34
889,war,34
890,don,34
891,only,34
892,component,34
893,mulls,34
894,sentinel,34
895,stay,34
896,com,34
897,establish,33
898,terminals,33
899,postpones,33
900,just,33
901,pair,33
902,studying,33
903,advances,33
904,korean,33
905,invest,33
906,armed,33
907,turns,33
908,dispute,33
909,senators,33
910,milestone,33
911,reorganization,33
912,capella,33
913,bring,33
914,meeting,33
915,alternative,33
916,cloud,33
917,share,33
918,lift,33
919,fall,33
920,far,33
921,debt,33
922,until,33
923,landsat,33
924,commander,33
925,apollo,33
926,survey,32
927,hit,32
928,extended,32
929,raise,32
930,mobile,32
931,16,32
932,search,32
933,video,32
934,markets,32
935,york,32
936,closer,32
937,nearly,32
938,watch,32
939,planned,32
940,australia,32
941,bank,32
942,become,32
943,000,32
944,cnes,32
945,hold,32
946,sky,32
947,sell,32
948,resources,32
949,free,32
950,campaign,32
951,stake,32
952,green,32
953,anti,32
954,leaves,32
955,american,32
956,reforms,32
957,usaf,32
958,stock,31
959,sustainability,31
960,50,31
961,reach,31
962,colorado,31
963,conference,31
964,protection,31
965,inspector,31
966,iot,31
967,water,31
968,3d,31
969,astroscale,31
970,jupiter,31
971,flat,31
972,cut,31
973,add,31
974,solid,31
975,transfer,31
976,staff,31
977,coverage,31
978,uae,31
979,ship,31
980,lost,31
981,weapons,31
982,considering,31
983,large,31
984,do,31
985,co,31
986,eye,31
987,reform,31
988,britain,31
989,curiosity,31
990,thruster,30
991,bids,30
992,demonstration,30
993,blacksky,30
994,weighs,30
995,commission,30
996,nominee,30
997,like,30
998,tug,30
999,symposium,30
1000,confident,30
1001,host,30
1002,going,30
1003,investments,30
1004,without,30
1005,insurance,30
1006,washington,30
1007,hearing,30
1008,point,29
1009,path,29
1010,october,29
1011,claims,29
1012,dawn,29
1013,fully,29
1014,quantum,29
1015,vision,29
1016,around,29
1017,static,29
1018,suffers,29
1019,september,29
1020,draft,29
1021,activities,29
1022,lower,29
1023,line,29
1024,antennas,29
1025,robotic,29
1026,israel,29
1027,teams,29
1028,bound,29
1029,replace,29
1030,red,29
1031,hyten,29
1032,cyber,29
1033,texas,29
1034,asat,28
1035,fourth,28
1036,cash,28
1037,geostationary,28
1038,ties,28
1039,b,28
1040,radio,28
1041,ndaa,28
1042,course,28
1043,congressional,28
1044,shows,28
1045,light,28
1046,continued,28
1047,increases,28
1048,prices,28
1049,summer,28
1050,shifts,28
1051,own,28
1052,italian,28
1053,ships,28
1054,pact,28
1055,isro,28
1056,ride,28
1057,priority,28
1058,assembly,28
1059,webb,28
1060,fuel,28
1061,founder,28
1062,sofia,28
1063,between,28
1064,era,28
1065,touts,28
1066,jaxa,28
1067,pressure,28
1068,right,28
1069,hawkeye,27
1070,360,27
1071,recommends,27
1072,question,27
1073,closes,27
1074,invests,27
1075,fires,27
1076,slip,27
1077,extends,27
1078,starts,27
1079,agree,27
1080,independent,27
1081,kennedy,27
1082,list,27
1083,legislation,27
1084,luxembourg,27
1085,ispace,27
1086,most,27
1087,hasc,27
1088,half,27
1089,worldview,27
1090,experimental,27
1091,leaders,27
1092,model,27
1093,fast,27
1094,chang,27
1095,hypersonic,27
1096,mexico,27
1097,hits,27
1098,recovery,27
1099,resume,27
1100,accelerate,27
1101,receives,27
1102,competitive,27
1103,contractors,27
1104,labs,27
1105,analysis,27
1106,their,27
1107,polar,27
1108,needed,27
1109,higher,27
1110,bigelow,27
1111,our,27
1112,job,27
1113,eelv,27
1114,xpress,27
1115,rapid,26
1116,names,26
1117,emphasizes,26
1118,copernicus,26
1119,terran,26
1120,ai,26
1121,responsive,26
1122,thrusters,26
1123,compete,26
1124,ventures,26
1125,land,26
1126,bigger,26
1127,allies,26
1128,lays,26
1129,pslv,26
1130,energy,26
1131,shift,26
1132,safran,26
1133,law,26
1134,dedicated,26
1135,fab,26
1136,interference,26
1137,political,26
1138,priorities,26
1139,states,26
1140,shield,26
1141,cause,26
1142,drops,26
1143,optimistic,26
1144,reduce,26
1145,want,26
1146,raymond,26
1147,things,26
1148,seen,26
1149,capability,26
1150,grow,26
1151,endorses,26
1152,dies,26
1153,griffin,26
1154,brazil,26
1155,who,26
1156,awarded,26
1157,today,26
1158,sm,26
1159,decadal,25
1160,legal,25
1161,thaicom,25
1162,africa,25
1163,observatory,25
1164,analytics,25
1165,establishes,25
1166,accords,25
1167,files,25
1168,powered,25
1169,pacific,25
1170,delivery,25
1171,astronomy,25
1172,deadline,25
1173,improve,25
1174,coast,25
1175,leader,25
1176,range,25
1177,blamed,25
1178,auction,25
1179,august,25
1180,days,25
1181,flying,25
1182,revised,25
1183,express,25
1184,solutions,25
1185,leak,25
1186,considers,25
1187,array,25
1188,expanding,25
1189,fix,25
1190,star,25
1191,forecast,25
1192,james,25
1193,rolls,25
1194,parts,25
1195,pushes,25
1196,bezos,25
1197,situational,25
1198,dev,25
1199,lightsquared,25
1200,sequestration,25
1201,capital,24
1202,lawsuit,24
1203,terminal,24
1204,while,24
1205,larger,24
1206,l,24
1207,performance,24
1208,appropriations,24
1209,architecture,24
1210,60,24
1211,backs,24
1212,initiative,24
1213,activity,24
1214,supplier,24
1215,stations,24
1216,give,24
1217,built,24
1218,experiments,24
1219,home,24
1220,less,24
1221,declares,24
1222,retire,24
1223,avio,24
1224,civil,24
1225,mapping,24
1226,22,24
1227,california,24
1228,defends,24
1229,letter,24
1230,aboard,24
1231,certification,24
1232,wilson,24
1233,so,24
1234,finally,24
1235,nabs,24
1236,astronautical,24
1237,amos,24
1238,2011,24
1239,includes,23
1240,complex,23
1241,longer,23
1242,ideas,23
1243,vote,23
1244,applications,23
1245,november,23
1246,funded,23
1247,forecasts,23
1248,sats,23
1249,rejects,23
1250,licensing,23
1251,reusability,23
1252,blackjack,23
1253,find,23
1254,mode,23
1255,italy,23
1256,horizons,23
1257,leolabs,23
1258,highlights,23
1259,ways,23
1260,blames,23
1261,abl,23
1262,criticizes,23
1263,spacewalk,23
1264,press,23
1265,economy,23
1266,elon,23
1267,boss,23
1268,draws,23
1269,promises,23
1270,slated,23
1271,yahsat,23
1272,secure,23
1273,cleared,23
1274,real,23
1275,yet,23
1276,too,23
1277,slot,23
1278,drop,23
1279,commitment,23
1280,pay,23
1281,old,23
1282,headed,23
1283,awaits,23
1284,fence,23
1285,xcor,23
1286,asia,22
1287,itu,22
1288,claim,22
1289,sar,22
1290,source,22
1291,pitch,22
1292,value,22
1293,fixed,22
1294,conduct,22
1295,megaconstellation,22
1296,bus,22
1297,voyager,22
1298,thermal,22
1299,methane,22
1300,solicitation,22
1301,parachute,22
1302,information,22
1303,hyperspectral,22
1304,inc,22
1305,performs,22
1306,arabsat,22
1307,skeptical,22
1308,virginia,22
1309,extend,22
1310,consortium,22
1311,24,22
1312,loft,22
1313,thuraya,22
1314,subcommittee,22
1315,bills,22
1316,retired,22
1317,sanctions,22
1318,investor,22
1319,500,22
1320,january,22
1321,foundation,22
1322,heat,22
1323,community,22
1324,field,22
1325,consolidation,22
1326,process,22
1327,core,22
1328,gear,22
1329,offering,22
1330,storm,22
1331,industries,22
1332,failures,22
1333,jsat,22
1334,announce,22
1335,reviews,22
1336,position,22
1337,was,22
1338,prime,22
1339,comet,22
1340,concern,22
1341,action,22
1342,eumetsat,22
1343,abs,22
1344,2010,22
1345,guest,22
1346,release,21
1347,select,21
1348,docks,21
1349,nations,21
1350,payment,21
1351,download,21
1352,conducts,21
1353,university,21
1354,dish,21
1355,orbits,21
1356,sends,21
1357,monitor,21
1358,away,21
1359,presses,21
1360,ligado,21
1361,financing,21
1362,lack,21
1363,launcherone,21
1364,greater,21
1365,scrubs,21
1366,glenn,21
1367,agrees,21
1368,valley,21
1369,financial,21
1370,australian,21
1371,flyby,21
1372,rep,21
1373,enterprise,21
1374,connecting,21
1375,great,21
1376,address,21
1377,stop,21
1378,canyon,21
1379,there,21
1380,requirements,21
1381,countdown,21
1382,venus,21
1383,operating,21
1384,ministerial,21
1385,raising,21
1386,researchers,21
1387,approve,21
1388,safe,21
1389,results,21
1390,boosts,21
1391,37b,21
1392,earnings,21
1393,gogo,21
1394,unlikely,21
1395,backup,21
1396,times,21
1397,senior,21
1398,goal,21
1399,officer,21
1400,little,21
1401,resumes,21
1402,icbm,21
1403,nomination,21
1404,credit,21
1405,vector,21
1406,kill,21
1407,interceptor,21
1408,2f,21
1409,pluto,21
1410,kuiper,20
1411,demonstrates,20
1412,assets,20
1413,concerned,20
1414,deliver,20
1415,device,20
1416,approaches,20
1417,consider,20
1418,collaboration,20
1419,many,20
1420,integration,20
1421,hurricane,20
1422,send,20
1423,ursa,20
1424,prepare,20
1425,astranis,20
1426,option,20
1427,facilities,20
1428,signals,20
1429,damage,20
1430,breaks,20
1431,scheduled,20
1432,heliophysics,20
1433,concepts,20
1434,omnibus,20
1435,corps,20
1436,among,20
1437,arctic,20
1438,dlr,20
1439,wave,20
1440,shares,20
1441,sept,20
1442,special,20
1443,vandenberg,20
1444,aviation,20
1445,computer,20
1446,hope,20
1447,pass,20
1448,2nd,20
1449,nanoracks,20
1450,clyde,20
1451,redirect,20
1452,dmsp,20
1453,garver,20
1454,ares,20
1455,comtech,19
1456,accelerator,19
1457,redwire,19
1458,scientist,19
1459,gears,19
1460,sites,19
1461,response,19
1462,investigate,19
1463,limited,19
1464,docking,19
1465,agreements,19
1466,cancels,19
1467,israeli,19
1468,ssa,19
1469,mitigation,19
1470,selling,19
1471,deorbit,19
1472,denies,19
1473,deals,19
1474,creates,19
1475,astrobotic,19
1476,upgraded,19
1477,collision,19
1478,game,19
